Score Age Subject Sex ID Score Subject Score Subject
88 19 Maths 1 184 84 Physics 82 "Data Structue"
95 20 Maths 2 185 91 Physics 89 "Data Structue"
75 20 Maths 1 186 71 Physics 69 "Data Structue"
75 20 Maths 1 187 71 Physics 69 "Data Structue"
95 20 Maths 1 188 91 Physics 89 "Data Structue"
91 20 Maths 1 189 87 Physics 85 "Data Structue"
82 18 Maths 2 190 78 Physics 76 "Data Structue"
85 19 Maths 1 191 81 Physics 79 "Data Structue"
91 18 Maths 1 192 87 Physics 85 "Data Structue"
85 19 Maths 1 193 81 Physics 79 "Data Structue"
85 21 Maths 1 194 81 Physics 79 "Data Structue"
91 20 Maths 2 195 87 Physics 85 "Data Structue"
91 18 Maths 1 196 87 Physics 85 "Data Structue"
85 21 Maths 1 197 81 Physics 79 "Data Structue"
95 20 Maths 1 198 91 Physics 89 "Data Structue"
88 21 Maths 1 199 84 Physics 82 "Data Structue"
53 18 Maths 2 200 49 Physics 47 "Data Structue"
66 18 Maths 1 201 62 Physics 60 "Data Structue"
91 20 Maths 1 202 87 Physics 85 "Data Structue"
45 19 Maths 1 203 41 Physics 39 "Data Structue"
85 19 Maths 1 204 81 Physics 79 "Data Structue"
82 18 Maths 2 205 78 Physics 76 "Data Structue"
66 19 Maths 1 206 62 Physics 60 "Data Structue"
75 20 Maths 1 207 71 Physics 69 "Data Structue"
75 18 Maths 1 208 71 Physics 69 "Data Structue"
95 18 Maths 1 209 91 Physics 89 "Data Structue"
66 19 Maths 2 210 62 Physics 60 "Data Structue"
66 21 Maths 1 211 62 Physics 60 "Data Structue"
88 19 Maths 1 212 84 Physics 82 "Data Structue"
88 19 Maths 1 213 84 Physics 82 "Data Structue"
75 18 Maths 1 214 71 Physics 69 "Data Structue"
66 19 Maths 2 215 62 Physics 60 "Data Structue"
88 19 Maths 1 216 69 Physics 0 "Data Structue"
82 20 Maths 1 217 78 Physics 76 "Data Structue"
82 18 Maths 1 218 78 Physics 76 "Data Structue"
45 19 Maths 1 219 41 Physics 39 "Data Structue"
95 18 Maths 2 220 91 Physics 89 "Data Structue"
66 19 Maths 1 221 62 Physics 60 "Data Structue"
85 21 Maths 1 222 81 Physics 79 "Data Structue"
82 18 Maths 1 223 78 Physics 76 "Data Structue"
91 18 Maths 1 224 87 Physics 85 "Data Structue"
85 21 Maths 2 225 81 Physics 79 "Data Structue"
95 20 Maths 1 226 91 Physics 89 "Data Structue"
53 20 Maths 1 227 49 Physics 47 "Data Structue"
91 20 Maths 1 228 87 Physics 85 "Data Structue"
45 19 Maths 1 229 41 Physics 39 "Data Structue"
65 18 Maths 2 230 61 Physics 59 "Data Structue"
75 20 Maths 1 231 71 Physics 69 "Data Structue"
91 18 Maths 1 232 87 Physics 85 "Data Structue"
53 20 Maths 1 233 49 Physics 47 "Data Structue"
53 18 Maths 1 234 49 Physics 47 "Data Structue"
53 18 Maths 2 235 49 Physics 47 "Data Structue"
95 18 Maths 1 236 91 Physics 89 "Data Structue"
75 20 Maths 1 237 71 Physics 69 "Data Structue"
95 20 Maths 1 238 91 Physics 89 "Data Structue"
82 18 Maths 1 239 78 Physics 76 "Data Structue"
53 18 Maths 2 240 49 Physics 47 "Data Structue"
95 18 Maths 1 241 91 Physics 89 "Data Structue"
75 20 Maths 1 242 71 Physics 69 "Data Structue"
66 18 Maths 1 243 62 Physics 60 "Data Structue"
91 20 Maths 1 244 87 Physics 85 "Data Structue"
91 20 Maths 2 245 87 Physics 85 "Data Structue"
85 18 Maths 1 246 81 Physics 79 "Data Structue"
75 20 Maths 1 247 71 Physics 69 "Data Structue"
66 18 Maths 1 248 62 Physics 60 "Data Structue"
75 20 Maths 1 249 71 Physics 69 "Data Structue"
88 19 Maths 2 250 84 Physics 82 "Data Structue"
88 18 Maths 1 251 84 Physics 82 "Data Structue"
82 20 Maths 1 252 78 Physics 76 "Data Structue"
65 18 Maths 1 253 61 Physics 59 "Data Structue"
45 19 Maths 1 254 41 Physics 39 "Data Structue"
85 18 Maths 2 255 81 Physics 79 "Data Structue"
65 19 Maths 1 256 61 Physics 59 "Data Structue"
75 20 Maths 1 257 71 Physics 69 "Data Structue"
75 18 Maths 1 258 71 Physics 69 "Data Structue"
53 20 Maths 1 259 49 Physics 47 "Data Structue"
45 18 Maths 2 260 41 Physics 39 "Data Structue"
91 18 Maths 1 261 87 Physics 85 "Data Structue"
95 18 Maths 1 262 91 Physics 89 "Data Structue"
95 18 Maths 1 263 91 Physics 89 "Data Structue"
82 20 Maths 1 264 78 Physics 76 "Data Structue"
53 18 Maths 2 265 49 Physics 47 "Data Structue"
66 21 Maths 1 266 62 Physics 60 "Data Structue"
45 19 Maths 1 267 41 Physics 39 "Data Structue"
82 20 Maths 1 268 78 Physics 76 "Data Structue"
65 19 Maths 1 269 61 Physics 59 "Data Structue"
65 19 Maths 2 270 61 Physics 59 "Data Structue"
88 21 Maths 1 271 84 Physics 82 "Data Structue"
82 20 Maths 1 272 78 Physics 76 "Data Structue"
95 18 Maths 1 273 91 Physics 89 "Data Structue"
53 20 Maths 1 274 49 Physics 47 "Data Structue"
91 18 Maths 2 275 87 Physics 85 "Data Structue"
65 19 Maths 1 276 61 Physics 59 "Data Structue"
65 19 Maths 1 277 61 Physics 59 "Data Structue"
91 18 Maths 1 278 87 Physics 85 "Data Structue"
66 18 Maths 1 279 62 Physics 60 "Data Structue"
65 19 Maths 2 280 61 Physics 59 "Data Structue"
45 19 Maths 1 281 41 Physics 39 "Data Structue"
91 20 Maths 1 282 87 Physics 85 "Data Structue"
45 21 Maths 1 283 41 Physics 39 "Data Structue"
53 20 Maths 1 284 49 Physics 47 "Data Structue"
75 18 Maths 2 285 71 Physics 69 "Data Structue"
53 18 Maths 1 286 49 Physics 47 "Data Structue"
95 18 Maths 1 287 91 Physics 89 "Data Structue"
95 18 Maths 1 288 91 Physics 89 "Data Structue"
85 19 Maths 1 289 81 Physics 79 "Data Structue"
91 20 Maths 2 290 87 Physics 85 "Data Structue"
66 19 Maths 1 291 62 Physics 60 "Data Structue"
95 20 Maths 1 292 91 Physics 89 "Data Structue"
88 19 Maths 1 293 84 Physics 82 "Data Structue"
85 19 Maths 1 294 81 Physics 79 "Data Structue"
66 18 Maths 2 295 62 Physics 60 "Data Structue"
95 20 Maths 1 296 91 Physics 89 "Data Structue"
91 18 Maths 1 297 87 Physics 85 "Data Structue"
95 20 Maths 1 298 91 Physics 89 "Data Structue"
85 18 Maths 1 299 81 Physics 79 "Data Structue"
91 18 Maths 2 300 87 Physics 85 "Data Structue"
64 19 Maths 1 301 60 Physics 58 "Data Structue"
53 18 Maths 1 302 49 Physics 47 "Data Structue"
85 19 Maths 1 303 81 Physics 79 "Data Structue"
66 21 Maths 1 304 62 Physics 60 "Data Structue"
53 20 Maths 2 305 49 Physics 47 "Data Structue"
82 20 Maths 1 306 78 Physics 76 "Data Structue"
75 18 Maths 1 307 71 Physics 69 "Data Structue"
75 18 Maths 1 308 71 Physics 69 "Data Structue"
64 19 Maths 1 309 60 Physics 58 "Data Structue"
88 19 Maths 2 310 84 Physics 82 "Data Structue"
91 20 Maths 1 311 87 Physics 85 "Data Structue"
75 18 Maths 1 312 71 Physics 69 "Data Structue"
66 21 Maths 1 313 62 Physics 60 "Data Structue"
82 18 Maths 1 314 78 Physics 76 "Data Structue"
45 21 Maths 2 315 41 Physics 39 "Data Structue"
66 19 Maths 1 316 62 Physics 60 "Data Structue"
66 19 Maths 1 317 62 Physics 60 "Data Structue"
91 20 Maths 1 318 87 Physics 85 "Data Structue"
66 19 Maths 1 319 62 Physics 60 "Data Structue"
75 18 Maths 2 320 71 Physics 69 "Data Structue"
91 20 Maths 1 321 87 Physics 85 "Data Structue"
45 18 Maths 1 322 41 Physics 39 "Data Structue"
75 18 Maths 1 323 71 Physics 69 "Data Structue"
75 20 Maths 1 324 71 Physics 69 "Data Structue"
65 21 Maths 2 325 61 Physics 59 "Data Structue"
66 19 Maths 1 326 62 Physics 60 "Data Structue"
85 19 Maths 1 327 81 Physics 79 "Data Structue"
65 21 Maths 1 328 61 Physics 59 "Data Structue"
95 20 Maths 1 329 91 Physics 89 "Data Structue"
95 18 Maths 2 330 91 Physics 89 "Data Structue"
95 18 Maths 1 331 91 Physics 89 "Data Structue"
53 20 Maths 1 332 49 Physics 47 "Data Structue"
66 19 Maths 1 333 62 Physics 60 "Data Structue"
66 18 Maths 1 334 62 Physics 60 "Data Structue"
53 20 Maths 2 335 49 Physics 47 "Data Structue"
95 20 Maths 1 336 91 Physics 89 "Data Structue"
91 20 Maths 1 337 87 Physics 85 "Data Structue"
65 19 Maths 1 338 61 Physics 59 "Data Structue"
88 18 Maths 1 339 84 Physics 82 "Data Structue"
88 21 Maths 2 340 84 Physics 82 "Data Structue"
65 19 Maths 1 341 61 Physics 59 "Data Structue"
66 19 Maths 1 342 62 Physics 60 "Data Structue"
66 21 Maths 1 343 62 Physics 60 "Data Structue"
45 18 Maths 1 344 41 Physics 39 "Data Structue"
88 21 Maths 2 345 84 Physics 82 "Data Structue"
95 20 Maths 1 346 91 Physics 89 "Data Structue"
66 19 Maths 1 347 62 Physics 60 "Data Structue"
91 18 Maths 1 348 87 Physics 85 "Data Structue"
85 19 Maths 1 349 81 Physics 79 "Data Structue"
65 19 Maths 2 350 61 Physics 59 "Data Structue"
75 18 Maths 1 351 71 Physics 69 "Data Structue"
31 18 Maths 1 352 27 Physics 25 "Data Structue"
65 18 Maths 1 353 61 Physics 59 "Data Structue"
95 18 Maths 1 354 91 Physics 89 "Data Structue"
82 20 Maths 2 355 78 Physics 76 "Data Structue"
82 18 Maths 1 356 78 Physics 76 "Data Structue"
65 18 Maths 1 357 61 Physics 59 "Data Structue"
88 21 Maths 1 358 84 Physics 82 "Data Structue"
75 18 Maths 1 359 71 Physics 69 "Data Structue"
45 21 Maths 2 360 41 Physics 39 "Data Structue"
45 18 Maths 1 361 41 Physics 39 "Data Structue"
75 20 Maths 1 362 71 Physics 69 "Data Structue"
88 19 Maths 1 363 84 Physics 82 "Data Structue"
85 19 Maths 1 364 81 Physics 79 "Data Structue"
66 19 Maths 2 365 62 Physics 60 "Data Structue"
66 18 Maths 1 366 62 Physics 60 "Data Structue"
75 20 Maths 1 367 71 Physics 69 "Data Structue"
75 20 Maths 1 368 71 Physics 69 "Data Structue"
45 19 Maths 1 369 41 Physics 39 "Data Structue"
91 20 Maths 2 370 87 Physics 85 "Data Structue"
91 18 Maths 1 371 87 Physics 85 "Data Structue"
82 18 Maths 1 372 78 Physics 76 "Data Structue"
75 20 Maths 1 373 71 Physics 69 "Data Structue"
91 20 Maths 1 374 87 Physics 85 "Data Structue"
88 19 Maths 2 375 84 Physics 82 "Data Structue"
88 21 Maths 1 376 84 Physics 82 "Data Structue"
66 19 Maths 1 377 62 Physics 60 "Data Structue"
95 18 Maths 1 378 91 Physics 89 "Data Structue"
45 18 Maths 1 379 41 Physics 39 "Data Structue"
53 20 Maths 2 380 49 Physics 47 "Data Structue"
91 20 Maths 1 381 87 Physics 85 "Data Structue"
75 18 Maths 1 382 71 Physics 69 "Data Structue"
66 21 Maths 1 383 62 Physics 60 "Data Structue"
66 19 Maths 1 384 62 Physics 60 "Data Structue"
91 20 Maths 2 385 87 Physics 85 "Data Structue"
85 18 Maths 1 386 81 Physics 79 "Data Structue"
82 20 Maths 1 387 78 Physics 76 "Data Structue"
66 19 Maths 1 388 62 Physics 60 "Data Structue"
75 18 Maths 1 389 71 Physics 69 "Data Structue"
91 18 Maths 2 390 87 Physics 85 "Data Structue"
45 19 Maths 1 391 41 Physics 39 "Data Structue"
0 20 Maths 1 392 78 Physics 76 "Data Structue"
91 20 Maths 1 393 87 Physics 85 "Data Structue"
75 18 Maths 1 394 71 Physics 69 "Data Structue"
82 20 Maths 2 395 78 Physics 76 "Data Structue"
95 20 Maths 1 396 91 Physics 89 "Data Structue"
88 19 Maths 1 397 84 Physics 82 "Data Structue"
65 19 Maths 1 398 61 Physics 59 "Data Structue"
85 21 Maths 1 399 81 Physics 79 "Data Structue"
91 18 Maths 2 400 87 Physics 85 "Data Structue"
91 20 Maths 1 401 87 Physics 85 "Data Structue"
53 20 Maths 1 402 49 Physics 47 "Data Structue"
95 20 Maths 1 403 91 Physics 89 "Data Structue"
95 18 Maths 1 404 91 Physics 89 "Data Structue"
53 18 Maths 2 405 49 Physics 47 "Data Structue"
45 19 Maths 1 406 41 Physics 39 "Data Structue"
75 18 Maths 1 407 71 Physics 69 "Data Structue"
65 18 Maths 1 408 61 Physics 59 "Data Structue"
45 19 Maths 1 409 41 Physics 39 "Data Structue"
82 18 Maths 2 410 78 Physics 76 "Data Structue"
82 18 Maths 1 411 78 Physics 76 "Data Structue"
66 19 Maths 1 412 62 Physics 60 "Data Structue"
65 21 Maths 1 413 61 Physics 59 "Data Structue"
66 19 Maths 1 414 62 Physics 60 "Data Structue"
95 18 Maths 2 415 91 Physics 89 "Data Structue"
45 21 Maths 1 416 41 Physics 39 "Data Structue"
65 19 Maths 1 417 61 Physics 59 "Data Structue"
88 19 Maths 1 418 57 Physics 0 "Data Structue"
65 19 Maths 1 419 61 Physics 59 "Data Structue"
85 18 Maths 2 420 81 Physics 79 "Data Structue"
75 18 Maths 1 421 71 Physics 69 "Data Structue"
82 20 Maths 1 422 78 Physics 76 "Data Structue"
82 20 Maths 1 423 78 Physics 76 "Data Structue"
66 21 Maths 1 424 62 Physics 60 "Data Structue"
85 19 Maths 2 425 81 Physics 79 "Data Structue"
75 18 Maths 1 426 71 Physics 69 "Data Structue"
91 20 Maths 1 427 87 Physics 85 "Data Structue"
65 19 Maths 1 428 61 Physics 59 "Data Structue"
82 20 Maths 1 429 78 Physics 76 "Data Structue"
45 18 Maths 2 430 41 Physics 39 "Data Structue"
95 20 Maths 1 431 91 Physics 89 "Data Structue"
88 18 Maths 1 432 84 Physics 82 "Data Structue"
53 18 Maths 1 433 49 Physics 47 "Data Structue"
82 18 Maths 1 434 78 Physics 76 "Data Structue"
66 19 Maths 2 435 62 Physics 60 "Data Structue"
91 20 Maths 1 436 87 Physics 85 "Data Structue"
45 18 Maths 1 437 41 Physics 39 "Data Structue"
53 18 Maths 1 438 49 Physics 47 "Data Structue"
85 19 Maths 1 439 81 Physics 79 "Data Structue"
91 18 Maths 2 440 87 Physics 85 "Data Structue"
53 18 Maths 1 441 49 Physics 47 "Data Structue"
88 19 Maths 1 442 84 Physics 82 "Data Structue"
85 18 Maths 1 443 81 Physics 79 "Data Structue"
45 19 Maths 1 444 41 Physics 39 "Data Structue"
53 18 Maths 2 445 49 Physics 47 "Data Structue"
75 20 Maths 1 446 71 Physics 69 "Data Structue"
85 19 Maths 1 447 81 Physics 79 "Data Structue"
66 19 Maths 1 448 62 Physics 60 "Data Structue"
82 20 Maths 1 449 78 Physics 76 "Data Structue"
85 19 Maths 2 450 81 Physics 79 "Data Structue"
82 20 Maths 1 451 78 Physics 76 "Data Structue"
82 18 Maths 1 452 78 Physics 76 "Data Structue"
95 18 Maths 1 453 91 Physics 89 "Data Structue"
85 19 Maths 1 454 81 Physics 79 "Data Structue"
75 20 Maths 2 455 71 Physics 69 "Data Structue"
91 20 Maths 1 456 87 Physics 85 "Data Structue"
95 18 Maths 1 457 91 Physics 89 "Data Structue"
95 20 Maths 1 458 91 Physics 89 "Data Structue"
53 18 Maths 1 459 49 Physics 47 "Data Structue"
85 18 Maths 2 460 81 Physics 79 "Data Structue"
95 20 Maths 1 461 91 Physics 89 "Data Structue"
65 19 Maths 1 462 61 Physics 59 "Data Structue"
91 20 Maths 1 463 87 Physics 85 "Data Structue"
75 20 Maths 1 464 71 Physics 69 "Data Structue"
45 21 Maths 2 465 45 Physics 0 "Data Structue"
53 20 Maths 1 466 49 Physics 47 "Data Structue"
88 21 Maths 1 467 84 Physics 82 "Data Structue"
66 18 Maths 1 468 62 Physics 60 "Data Structue"
53 18 Maths 1 469 49 Physics 47 "Data Structue"
82 18 Maths 2 470 78 Physics 76 "Data Structue"
82 18 Maths 1 471 78 Physics 76 "Data Structue"
53 20 Maths 1 472 49 Physics 47 "Data Structue"
85 21 Maths 1 473 81 Physics 79 "Data Structue"
45 21 Maths 1 474 41 Physics 39 "Data Structue"
91 20 Maths 2 475 87 Physics 85 "Data Structue"
82 20 Maths 1 476 78 Physics 76 "Data Structue"
45 19 Maths 1 477 41 Physics 39 "Data Structue"
75 18 Maths 1 478 71 Physics 69 "Data Structue"
95 18 Maths 1 479 91 Physics 89 "Data Structue"
88 21 Maths 2 480 84 Physics 82 "Data Structue"
88 19 Maths 1 481 84 Physics 82 "Data Structue"
85 18 Maths 1 482 81 Physics 79 "Data Structue"
82 20 Maths 1 483 78 Physics 76 "Data Structue"
66 19 Maths 1 484 62 Physics 60 "Data Structue"
88 18 Maths 2 485 84 Physics 82 "Data Structue"
91 20 Maths 1 486 87 Physics 85 "Data Structue"
95 20 Maths 1 487 91 Physics 89 "Data Structue"
75 18 Maths 1 488 71 Physics 69 "Data Structue"
75 18 Maths 1 489 71 Physics 69 "Data Structue"
53 20 Maths 2 490 49 Physics 47 "Data Structue"
88 18 Maths 1 491 84 Physics 82 "Data Structue"
82 20 Maths 1 492 78 Physics 76 "Data Structue"
88 19 Maths 1 493 84 Physics 82 "Data Structue"
91 20 Maths 1 494 87 Physics 85 "Data Structue"
75 18 Maths 2 495 71 Physics 69 "Data Structue"
75 18 Maths 1 496 71 Physics 69 "Data Structue"
91 18 Maths 1 497 87 Physics 85 "Data Structue"
85 19 Maths 1 498 81 Physics 79 "Data Structue"
